District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Sangli,2003 - 2004,"11,200.00",400,0.04,19.484,35.196,25.692,15.592,2.118,5.68,,,
Sangli,2004 - 2005,"95,600.00","45,900.00",0.48,19.142,32.4,24.698,15.674,2.918,5.762,,,
Sangli,2005 - 2006,"74,200.00","27,500.00",0.37,19.52,32.232,24.674,16.694,5.174,5.452,,,
Sangli,2006 - 2007,"92,700.00","35,000.00",0.38,19.804,31.77,24.626,16.22,3.976,5.814,,,
Sangli,2007 - 2008,"86,700.00","34,400.00",0.4,19.402,32.31,24.716,16.444,5.022,5.418,,,
Sangli,2008 - 2009,"12,500.00",900,0.07,18.806,33.066,24.824,15.73,2.966,5.476,,,
Sangli,2009 - 2010,"54,100.00","18,200.00",0.34,19.444,32.768,25.018,16.07,4.192,5.618,,,
Sangli,2010 - 2011,"74,900.00","62,500.00",0.83,19.2,32.828,25.024,16.452,4.166,5.326,,,
Sangli,2011 - 2012,"26,300.00","6,400.00",0.24,19.416,32.384,24.956,15.926,3.328,6.068,,,
Sangli,2012 - 2013,"22,100.00","4,800.00",0.22,19.362,34.236,25.36,15.238,2.352,6.096,,,
Sangli,2013 - 2014,"24,200.00","7,200.00",0.3,19.55,32.314,24.652,16.136,3.416,6.04,,,
Sangli,2014 - 2015,"69,600.00","53,100.00",0.76,19.34,34.966,25.654,15.942,3.444,5.59,,,
Sangli,2015 - 2016,"33,900.00","8,100.00",0.24,19.95,34.776,25.922,15.714,2.62,5.388,,,
Sangli,2016 - 2017,"66,100.00","47,100.00",0.71,18.926,32.716,24.44,15.692,3.904,5.416,,,
Sangli,2017 - 2018,"58,800.00","8,700.00",0.15,19.37,33.16,25.2,16.332,4.14,5.03,,,
Sangli,2018 - 2019,"33,724.00","7,946.00",0.24,18.782,32.9,24.976,15.556,3.294,5.63,,,
Sangli,2019 - 2020,"55,928.00","19,760.00",0.35,20.396,33.124,25.226,16.846,6.424,5.536,,,
Sangli,2020 - 2021,"60,022.97","59,992.64",1,19.8,31.67,24.756,16.952,6.384,5.018,,,
Sangli,2021 - 2022,"60,096.44","66,247.39",1.1,19.012,31.648,24.73,16.666,4.504,5.122,,,
Sangli,2022 - 2023,"44,597.00","50,007.00",1.12,18.946,32.06,24.54,16.358,5.07,4.968,,,
Satara,1999 - 2000,"91,000.00","84,300.00",0.93,18.732,30.16,23.73,17.208,8.268,5.284,,,
