District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Gondia,2000 - 2001,700,"47,300.00",67.57,15.362,34.319,24.509,0,0,0
Gondia,2001 - 2002,500,"24,200.00",48.4,15.738,33.981,24.514,0,0,0
Gondia,2002 - 2003,500,"23,000.00",46,15.986,34.58,25.019,0,0,0
Gondia,2003 - 2004,500,"28,800.00",57.6,15.996,34.04,24.659,0,0,0
Gondia,2004 - 2005,400,"26,900.00",67.25,15.597,34.035,24.144,0,0,0
Gondia,2005 - 2006,200,"5,400.00",27,15.54,33.746,24.394,0,0,0
Gondia,2006 - 2007,400,"26,000.00",65,16.156,33.806,24.612,0,0,0
Gondia,2007 - 2008,400,"26,900.00",67.25,16.088,33.944,24.395,0,0,0
Gondia,2008 - 2009,400,"17,800.00",44.5,15.305,33.557,24.129,0,0,0
Gondia,2009 - 2010,300,"23,800.00",79.33,16.544,34.625,25.427,0,0,0
Gondia,2010 - 2011,400,"21,600.00",54,16.329,33.81,25.123,0,0,0
Gondia,2011 - 2012,400,"25,400.00",63.5,15.653,33.548,24.159,0,0,0
Gondia,2012 - 2013,200,"16,600.00",83,14.156,34.008,24.332,0,0,0
Gondia,2013 - 2014,300,"21,500.00",71.67,15.567,32.838,24.044,0,0,0
Gondia,2014 - 2015,"1,500.00","97,000.00",64.67,15.212,34.288,24.336,0,0,0
Gondia,2015 - 2016,"1,000.00","57,700.00",57.7,15.558,33.994,24.629,0,0,0
Gondia,2016 - 2017,667,"28,300.00",42.43,16.104,34.144,24.734,0,0,0
Gondia,2017 - 2018,"1,129.00","45,200.00",40.04,15.893,34.475,24.66,0,0,0
Gondia,2018 - 2019,"1,528.00","1,02,812.00",67.29,15.919,34.013,24.491,0,0,0
Gondia,2019 - 2020,"1,030.00","76,838.00",74.6,15.449,33.596,24.443,0,0,0
Gondia,2022 - 2023,"1,728.00","1,05,632.64",61.13,15.23,33.305,23.991,0,0,0
Hingoli,1999 - 2000,"20,800.00","16,14,000.00",77.6,15.885,34.617,24.674,12.343,1.809,3.364
Hingoli,2000 - 2001,"15,800.00","10,59,200.00",67.04,16.081,34.652,25.164,12.343,2.388,3.162
Hingoli,2001 - 2002,"16,400.00","12,74,500.00",77.71,16.481,34.988,25.179,12.656,2.015,3.362
Hingoli,2002 - 2003,"16,300.00","12,30,000.00",75.46,16.955,35.576,25.723,12.629,2.379,3.366
Hingoli,2003 - 2004,"13,800.00","8,07,600.00",58.52,16.457,34.789,25.398,13.527,2.846,3.407
Hingoli,2004 - 2005,"6,900.00","4,24,600.00",61.54,16.247,35.296,25.352,12.862,1.961,3.321
Hingoli,2005 - 2006,"7,700.00","5,49,300.00",71.34,15.818,33.892,24.697,13.535,3.705,3.33
Hingoli,2006 - 2007,"14,700.00","9,78,300.00",66.55,16.414,33.917,24.727,13.682,3.247,3.091
Hingoli,2007 - 2008,"17,700.00","11,59,300.00",65.5,16.499,34.362,24.922,13.313,2.472,3.231
Hingoli,2008 - 2009,"8,100.00","3,03,000.00",37.41,15.843,34.333,24.874,13.424,3.431,2.957
Hingoli,2009 - 2010,"7,900.00","4,69,500.00",59.43,17.148,35.57,25.937,13.118,2.373,3.127
Hingoli,2010 - 2011,"4,600.00","3,03,600.00",66,16.959,33.695,25.314,14.148,3.899,3.078
Hingoli,2011 - 2012,"8,400.00","5,56,800.00",66.29,16.706,34.405,24.967,12.919,1.83,3.232
Hingoli,2012 - 2013,"9,000.00","6,78,500.00",75.39,15.618,35.016,25.275,12.708,2.587,3.324
Hingoli,2013 - 2014,"7,200.00","5,16,500.00",71.74,16.005,33.039,24.577,13.953,3.632,3.385
Hingoli,2014 - 2015,"15,200.00","8,55,700.00",56.3,16.341,35.579,25.5,12.852,1.706,3.358
Hingoli,2015 - 2016,"15,200.00","4,62,800.00",30.45,16.603,36.159,26.217,12.691,1.521,3.264
Hingoli,2016 - 2017,"5,000.00","3,12,700.00",62.54,16.518,35.12,25.295,13.134,2.917,3.413
Hingoli,2017 - 2018,"9,500.00","66,500.00",7,16.632,35.651,25.578,13.057,2.888,3.007
Hingoli,2018 - 2019,"11,200.00","7,84,000.00",70,16.694,35.58,25.6,12.299,2.477,3.186
Hingoli,2019 - 2020,"6,121.00","4,01,124.00",65.53,16.251,34.613,25.453,13.844,3.127,3.25
Hingoli,2020 - 2021,"13,500.00","10,17,432.18",75.37,16.622,33.565,24.839,15.031,4.672,2.948
Hingoli,2021 - 2022,"27,968.00","23,11,725.13",82.66,16.406,33.545,24.898,14.595,3.719,2.82
Hingoli,2022 - 2023,"17,520.00","12,03,448.80",68.69,15.726,34.065,24.566,14.129,4.242,3.011
Jalgaon,1999 - 2000,"9,400.00","8,71,500.00",92.71,0,0,0,0,0,0
Jalgaon,2000 - 2001,"14,500.00","12,03,400.00",82.99,0,0,0,0,0,0
Jalgaon,2001 - 2002,"13,500.00","10,07,400.00",74.62,0,0,0,0,0,0
Jalgaon,2002 - 2003,"12,000.00","8,55,000.00",71.25,0,0,0,0,0,0
Jalgaon,2003 - 2004,"13,000.00","4,39,900.00",33.84,0,0,0,0,0,0
Jalgaon,2004 - 2005,"14,900.00","9,22,600.00",61.92,0,0,0,0,0,0
Jalgaon,2005 - 2006,"17,000.00","10,99,000.00",64.65,0,0,0,0,0,0
Jalgaon,2006 - 2007,"18,800.00","12,38,400.00",65.87,0,0,0,0,0,0
Jalgaon,2007 - 2008,"22,400.00","14,88,400.00",66.45,0,0,0,0,0,0
Jalgaon,2008 - 2009,"11,700.00","7,64,800.00",65.37,0,0,0,0,0,0
Jalgaon,2009 - 2010,"9,600.00","6,75,400.00",70.35,0,0,0,0,0,0
Jalgaon,2010 - 2011,"11,200.00","8,77,000.00",78.3,0,0,0,0,0,0
Jalgaon,2011 - 2012,"11,200.00","8,20,000.00",73.21,0,0,0,0,0,0
Jalgaon,2012 - 2013,"11,000.00","7,59,100.00",69.01,0,0,0,0,0,0
Jalgaon,2013 - 2014,"11,700.00","8,83,200.00",75.49,0,0,0,0,0,0
Jalgaon,2014 - 2015,"7,900.00","5,53,600.00",70.08,0,0,0,0,0,0
Jalgaon,2015 - 2016,"10,000.00","7,76,600.00",77.66,0,0,0,0,0,0
Jalgaon,2016 - 2017,"9,163.00","8,45,900.00",92.32,0,0,0,0,0,0
Jalgaon,2017 - 2018,"9,330.00","7,93,100.00",85.01,0,0,0,0,0,0
Jalgaon,2018 - 2019,"10,006.00","6,89,413.00",68.9,0,0,0,0,0,0
Jalgaon,2019 - 2020,"6,988.00","4,83,270.00",69.16,0,0,0,0,0,0
Jalgaon,2020 - 2021,"4,860.00","5,35,070.41",110.1,0,0,0,0,0,0
Jalgaon,2021 - 2022,"12,035.00","7,31,795.42",60.81,0,0,0,0,0,0
Jalgaon,2022 - 2023,"16,000.00","11,20,000.00",70,0,0,0,0,0,0
