District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Chandrapur,2020 - 2021,"1,42,764.59","1,94,685.78",1.36,17.328,32.724,24.854,0,0,0
Chandrapur,2021 - 2022,"1,43,676.03","2,49,044.55",1.73,17.274,32.882,25.076,0,0,0
Chandrapur,2022 - 2023,"1,49,246.85","2,48,433.75",1.66,16.884,34.254,25.274,0,0,0
Dhule,1999 - 2000,"4,900.00","4,700.00",0.96,0,0,0,0,0,0
Dhule,2000 - 2001,"4,900.00","1,800.00",0.37,0,0,0,0,0,0
Dhule,2001 - 2002,"4,900.00","5,600.00",1.14,0,0,0,0,0,0
Dhule,2002 - 2003,"5,200.00","4,200.00",0.81,0,0,0,0,0,0
Dhule,2003 - 2004,"5,000.00","6,900.00",1.38,0,0,0,0,0,0
Dhule,2004 - 2005,"5,100.00","5,400.00",1.06,0,0,0,0,0,0
Dhule,2005 - 2006,"5,100.00","5,000.00",0.98,0,0,0,0,0,0
Dhule,2006 - 2007,"5,100.00","2,100.00",0.41,0,0,0,0,0,0
Dhule,2007 - 2008,"4,400.00","3,500.00",0.8,0,0,,0,0,0
Dhule,2008 - 2009,"5,400.00","3,000.00",0.56,0,0,0,0,0,0
Dhule,2009 - 2010,"4,900.00","2,400.00",0.49,0,0,0,0,0,0
Dhule,2010 - 2011,"5,000.00","6,700.00",1.34,0,0,0,0,0,0
Dhule,2011 - 2012,"7,900.00","5,300.00",0.67,0,0,0,0,0,0
Dhule,2012 - 2013,"7,700.00","7,400.00",0.96,0,0,0,0,0,0
Dhule,2013 - 2014,"7,700.00","9,700.00",1.26,0,0,0,0,0,0
Dhule,2014 - 2015,100,0,0,0,0,0,0,0,0
Dhule,2015 - 2016,"2,300.00","2,700.00",1.17,0,0,0,0,0,0
Dhule,2016 - 2017,"6,400.00","10,500.00",1.64,0,0,0,0,0,0
Dhule,2017 - 2018,"7,000.00","14,100.00",2.01,0,0,0,0,0,0
Dhule,2018 - 2019,"6,870.00","9,305.00",1.35,0,0,0,0,0,0
Dhule,2019 - 2020,"6,838.00","9,742.00",1.42,0,0,0,0,0,0
Dhule,2020 - 2021,"6,830.00","8,480.13",1.24,0,0,0,0,0,0
Dhule,2021 - 2022,"6,983.93","8,236.14",1.18,0,0,0,0,0,0
Dhule,2022 - 2023,"7,275.66","12,358.44",1.7,0,0,0,0,0,0
Gadchiroli,1999 - 2000,"1,39,400.00","1,90,100.00",1.36,15.376,33.38,23.594,0,0,0
Gadchiroli,2000 - 2001,"1,38,400.00","1,07,300.00",0.78,16.186,34.41,24.436,0,0,0
Gadchiroli,2001 - 2002,"1,42,100.00","1,63,800.00",1.15,15.508,33.152,23.672,0,0,0
Gadchiroli,2002 - 2003,"1,42,600.00","74,900.00",0.53,16.896,35.098,25.066,0,0,0
Gadchiroli,2003 - 2004,"1,44,300.00","1,75,700.00",1.22,16.584,33.56,24.114,0,0,0
Gadchiroli,2004 - 2005,"1,45,200.00","1,25,200.00",0.86,16.038,33.194,23.802,0,0,0
Gadchiroli,2005 - 2006,"1,47,200.00","2,22,100.00",1.51,15.87,32.99,23.786,0,0,0
Gadchiroli,2006 - 2007,"1,40,000.00","2,06,100.00",1.47,17.368,33.04,24.526,0,0,0
Gadchiroli,2007 - 2008,"1,49,100.00","2,23,100.00",1.5,15.964,33.678,23.866,0,0,0
Gadchiroli,2008 - 2009,"1,51,400.00","1,26,000.00",0.83,16.034,33.592,24.046,0,0,0
Gadchiroli,2009 - 2010,"1,49,100.00","1,12,500.00",0.75,16.246,33.922,24.764,0,0,0
Gadchiroli,2010 - 2011,"1,56,800.00","2,33,200.00",1.49,16.814,33.418,24.7,0,0,0
Gadchiroli,2011 - 2012,"1,52,200.00","1,82,300.00",1.2,16.662,33.954,24.386,0,0,0
Gadchiroli,2012 - 2013,"1,51,400.00","2,28,800.00",1.51,15.15,34.252,24.192,0,0,0
Gadchiroli,2013 - 2014,"1,53,000.00","2,25,600.00",1.47,16.094,31.522,23.222,0,0,0
Gadchiroli,2014 - 2015,"1,52,800.00","2,01,600.00",1.32,15.79,35.226,24.648,0,0,0
Gadchiroli,2015 - 2016,"1,50,500.00","1,26,300.00",0.84,17.088,34.258,25.014,0,0,0
Gadchiroli,2016 - 2017,"1,48,300.00","2,74,900.00",1.85,16.196,33.01,23.648,0,0,0
